reviewid,reviewdate,username,rating,title,content,translatedcontent,sentiment,appversion,responsecontent,responsedate,source
,2025-01-08 08:29:29,霜打的橙子,1,,So annoying！,So annoying！,NEGATIVE,,,,Appstore
,2025-01-07 02:53:40,WaitingK,1,,Selfie just won’t work for identity verification and video call never be able to connect to customer service,Selfie just won’t work for identity verification and video call never be able to connect to customer service,NEGATIVE,,,,Appstore
,2025-01-04 05:24:49,市民憤怒了,1,,"This app is unstable and always broke down, your transactions and transfer may on hold due to their app stability. 

CS and technical support is not reliable, think twice before using their service","This app is unstable and always broke down, your transactions and transfer may on hold due to their app stability. 

CS and technical support is not reliable, think twice before using their service",NEGATIVE,,,,Appstore
,2024-12-25 11:44:27,Sunny 6891,1,,"Keep asking to verify identity, need to do video call everytime i login, no customer support at all.","Keep asking to verify identity, need to do video call everytime i login, no customer support at all.",NEGATIVE,,,,Appstore
,2024-12-16 04:43:45,平常心💘,1,,垃圾食屎mox🤬🔪,Junk eating shit mox🤬🔪,NEGATIVE,,,,Appstore
,2024-12-10 09:41:57,Ambrose-A,5,,幾間虛擬銀行都唔錯，性價比高。我個人覺得Mox最好。喺銀行嚟講，股票min charge都算平。啱晒我短炒。😂,"Several virtual banks are good, good value for money. I personally think Mox is the best. In banking, stock min charge is cheap. Perfect for my short speculation. 😂",POSITIVE,,,,Appstore
,2024-12-04 11:45:28,︿︿,1,,"Stop forced updating sooooo frequently! 

7日內更新2次，更新一次個app 咁大，d data 有幾貴你知唔知，係街要用app 就無得用！差 👎🏻👎🏻👎🏻","Stop forced update soooo frequenty!

Updated 2 times within 7 days, updated once the app is so big, d data is how expensive you know, in the street to use the app can not be used! Poor 👎🏻👎🏻👎🏻",NEGATIVE,,,,Appstore
,2024-12-02 03:49:01,bdfvtd ggcd,2,,Ive seen so many people break their phones over the face identification feature of this bank and I’ve rarely seen it work,Ive seen so many people break their phones over the face identification feature of this bank and I’ve rarely seen it work,NEGATIVE,,,,Appstore
,2024-12-01 17:56:55,kerry87326,1,,呃人嘅，單方面終止貸款，又搵收數公司,"Cheating people, unilaterally terminated loans and looking for debt collection companies",NEGATIVE,,,,Appstore
,2024-11-25 01:16:22,thbctuobvjdidjnejfjc,1,,垃圾銀行,垃圾銀行,NEGATIVE,,,,Appstore
,2024-11-23 17:04:04,Beck Ip,5,,邀請碼 ：EZ7AMM,邀請碼 ：EZ7AMM,NEGATIVE,,,,Appstore
,2024-11-22 00:26:14,Mishra1986,5,,Best app with great features,Best app with great features,POSITIVE,,,,Appstore
,2024-11-21 12:07:34,Noviana sari,5,,Good servis❤️,Good servis❤️,POSITIVE,,,,Appstore
,2024-11-21 08:59:11,一個字 慢,1,,瘋狂cut 回贈尼啲都算，買股票慢到嘔，買虛擬貨幣係咁拒絕交易，要用佢嘅話當超市卡就算啦各位,"Crazy cut rebate Ni D is considered, buy stocks slow to vomit, buy virtual currencies are so refused transaction, to use it as a supermarket card even it",NEGATIVE,,,,Appstore
,2024-11-17 11:38:06,Horace05,1,,"成日開app就彈出強制同意電話推銷

自己啲優惠做好啲，唔使推銷都有客上門啦白痴管理層","Often open the app to pop up the mandatory consent phone marketing

Own discounts do better, do not have to marketing have customers to the door idiot management",NEGATIVE,,,,Appstore
,2024-11-15 04:51:56,考試英雄正垃圾on99,2,,屌你都on9 既，我有25萬我會放係你度，食屎啦，出埋啲垃圾優,"Fuck you are on 9, I have 250,000 I will put in you, eat shit, out of some garbage advantages",NEGATIVE,,,,Appstore
,2024-11-10 02:06:25,Nowyouseeme0929,1,,極度0人性化銀行😂😂不建議使用,極度0人性化銀行😂😂不建議使用,NEGATIVE,,,,Appstore
,2024-11-02 05:40:05,Cnirjip,1,,無試過有間銀行得閒就去私自調整信用額.. 應該間銀行啲人無野做,Never tried to have a bank to go to private self-adjusted credit.. should be the bank's people have nothing to do,NEGATIVE,,,,Appstore
,2024-11-01 14:30:03,YY_HKG2019,1,,Fix pls,Fix pls,NEGATIVE,,,,Appstore
,2024-11-01 12:22:42,Miss wincy wong,1,,"如題！已經發生過好多次！
解釋原因！
如果過唔到數去自己其他户口，留户口黎做咩？","As in the title! It has happened many times!
Explain the cause!
If I can't pass the bill to go to my other account, keep my account to do?",NEGATIVE,,,,Appstore
,2024-10-23 08:41:58,CC--hk,3,,"Could not update on 23/10 & got stuck!
I cannot do anything now!","Could not update on 23/10 & got stuck!
I cannot do anything now!",NEGATIVE,,,,Appstore
,2024-10-22 01:01:04,Ricky the Owl,1,,Please fix asap,Please fix asap,NEGATIVE,,,,Appstore
,2024-10-22 00:42:26,dupabubble,2,,"Can’t use after the latest update, please fix","Can’t use after the latest update, please fix",NEGATIVE,,,,Appstore
,2024-10-22 00:33:35,gdjhdsiowhd,2,,"今天早上一打開App就看到正在下載Mox 程式
請等等或稍後再重啓程式和抱歉，我們發現一些問題請重啓程式，是什麼事呢？","今天早上一打開App就看到正在下載Mox 程式
請等等或稍後再重啓程式和抱歉，我們發現一些問題請重啓程式，是什麼事呢？",NEGATIVE,,,,Appstore
,2024-10-22 00:33:07,So7346,3,,Cannot open the app after update.,Cannot open the app after update.,NEGATIVE,,,,Appstore
,2024-10-21 03:15:32,憤怒小鳥2862,1,,dllm 次次要用佢都更新 煩唔煩左d,dllm every time to use it update or not bothered,NEGATIVE,,,,Appstore
,2024-10-13 07:07:16,Tercha21,1,,"The in-app support chat is a chaos. Not address to the problem, but keep selling the thing I don’t want. Delayed in reply to my inquiry, and end the conversation once I am not replying immediately. Such unfair! And I cannot continue the conversation once I come back.","The in-app support chat is a chaos. Not address to the problem, but keep selling the thing I don’t want. Delayed in reply to my inquiry, and end the conversation once I am not replying immediately. Such unfair! And I cannot continue the conversation once I come back.",NEGATIVE,,,,Appstore
,2024-10-13 05:22:47,暱稱1026,1,,fake9人 又話有refund 結果一直推波仔😅,fake9人 又話有refund 結果一直推波仔😅,NEGATIVE,,,,Appstore
,2024-10-11 12:48:26,Applepiefans,1,,You will lose more than you gain in this rubbish bank totally bad service and strict.,You will lose more than you gain in this rubbish bank totally bad service and strict.,NEGATIVE,,,,Appstore
,2024-10-10 09:59:52,honmanwong,1,,正垃圾,True garbage,NEGATIVE,,,,Appstore
,2024-10-10 01:46:43,123nfy,1,,"視像通話永遠都唔會有人理你, 電話又冇人聽, 但又要強逼人咁做, 唔做就登入唔到, 很差的體驗","Video calls will never be concerned about you, and no one answers the phone, but to force people to do so, not do it can not log in, very bad experience",NEGATIVE,,,,Appstore
,2024-10-09 07:27:47,人生就係咁,1,,hello 唔知你地公司做乜無啦啦cut我卡，sd線上短訊又唔覆我，話乜即時回覆姐，電話我打左最少四次 20分鐘都打唔入你地客服，完全唔清楚點解要鎖我卡，因為我申請左信用卡？咁你又批俾我？其實關我乜事啊？我用左咁耐， 無啦啦就突然唔俾我用，仲要係唔知因為咩情況同埋點解，就係咁樣處理問題？真係好差😅😅😅之前仲要係咁介紹朋友使用你們銀行 ，原來係咁樣處理問題，處理唔滿意我一定會不停煩住晒！請盡快覆email俾我，我未試過打一次電話係需要都打唔入，仲要冇任何一個客服覆我！處理事情嘅態度真係好差 係直接唔會理,"hello I do not know what your company does suddenly cut me card, sd online text message and not reply to me, said what instant reply sister, phone I called at least four times 20 minutes can not hit your land customer service, completely unclear Why lock my card because I applied for a credit card? So you approve me again? What's wrong with me? I used it for so long, suddenly not suddenly I used, and I do not know what the situation and why, so dealt with the problem? It's really bad 😅😅😅 Before also introduced a friend to use your bank, it was so handling problems, dissatisfied I would not stop bothering! Please reply as soon as possible to email me, I have not tried to call once to call the need to call into, and no one customer service reply to me! The attitude of dealing with things is really bad",NEGATIVE,,,,Appstore
,2024-10-08 08:55:55,BeYourGoodCustomer,1,,"For those whom may download Mox, please be aware that to use credit card. It will deduct your money AUTOMATICALLY without any approval from the internet (i.e. Apple.com fm different country of yours)!
No trusting and unsecured credit card!!!
If u wanted, please just using the debit card and no information given on any other internet payment! If u use the CC, u will regret!! If u don’t trust me, you could search “Mox Apple.com”, you will be found what I am saying. Good Luck~","For those whom may download Mox, please be aware that to use credit card. It will deduct your money AUTOMATICALLY without any approval from the internet (i.e. Apple.com fm different country of yours)!
No trusting and unsecured credit card!!!
If u wanted, please just using the debit card and no information given on any other internet payment! If u use the CC, u will regret!! If u don’t trust me, you could search “Mox Apple.com”, you will be found what I am saying. Good Luck~",NEGATIVE,,,,Appstore
,2024-10-07 15:26:25,Jasminempc,1,,"The upper corner icons cannot be sensed in new iOS version. Cannot click notification or the name of account, the developers of MOX bank apps, please upgrade and tackle this bug!","The upper corner icons cannot be sensed in new iOS version. Cannot click notification or the name of account, the developers of MOX bank apps, please upgrade and tackle this bug!",NEGATIVE,,,,Appstore
,2024-09-28 04:06:53,Mox user,2,,"Some buttons too close to corner, hard to press, some info blocked by Dynamic Island","Some buttons too close to corner, hard to press, some info blocked by Dynamic Island",NEGATIVE,,,,Appstore
,2024-09-25 11:01:04,Terry Se,1,,"當月嘅存款優惠，可以話cut就cut, 問客服，淨係覆一句，叫你自己睇細則","The monthly deposit offer, can be said to cut, ask customer service, just reply a word, ask you to see for yourself",NEGATIVE,,,,Appstore
,2024-09-22 16:13:08,憨尻怪物,1,,，咪撚用啦,", don't use it",NEGATIVE,,,,Appstore
,2024-09-12 02:51:47,Lily888888888l,1,,Can’t update and can’t use the app,Can’t update and can’t use the app,NEGATIVE,,,,Appstore
,2024-09-09 06:55:30,anakinluk38,5,,我爸爸戶口有問題，不知道怎樣問，我幫他問，佢哋服務態度好差，惡劣，狗公眼看人低,"My father's account has questions, not knowing how to ask, I helped to ask, their service attitude is very bad, harsh, dog public eyes look low",NEGATIVE,,,,Appstore
,2024-09-03 05:18:08,Leon Ngan,1,,Recently update disappeared fingerprint login function. Pls update asap,Recently update disappeared fingerprint login function. Pls update asap,NEGATIVE,,,,Appstore
,2024-08-30 08:32:48,👍☘️✨,5,,Mox非常好用效率高👍,Mox is very easy to use and efficient 👍,POSITIVE,,,,Appstore
,2024-08-29 09:24:28,利榮樓樂,5,,現在多了不同活動，都值得一試,現在多了不同活動，都值得一試,NEGATIVE,,,,Appstore
,2024-08-28 19:21:37,MoeoM,5,,MOX 太好用太方便,MOX is so easy to use,POSITIVE,,,,Appstore
,2024-08-10 04:43:00,Nickzzzzzzzzz,1,,申請debit card 提交資料兩日都未確認,申請debit card 提交資料兩日都未確認,NEGATIVE,,,,Appstore
,2024-08-08 20:14:29,jlam77,5,,爛仔銀行搵埋d 垃圾信託公司搞鳩個客戶  cs 永遠機械式回答,Rotten the bank finds the d garbage trust company to fool the customer cs forever mechanical answer,NEGATIVE,,,,Appstore
,2024-08-08 08:38:17,Asusakkddjjdjddd,1,,本來想申請張來用，mox credit 上傳多次文件都不能通過驗證，換來的是時間的流失！！！,本來想申請張來用，mox credit 上傳多次文件都不能通過驗證，換來的是時間的流失！！！,NEGATIVE,,,,Appstore
,2024-08-07 07:08:12,ling54055,1,,經常誤導消費者 大家睇路 唔好漏睇啲細字 好中意陰人,"Frequently misleading consumers, we see the roads do not miss the small characters like sinister people",POSITIVE,,,,Appstore
,2024-08-06 14:39:42,Did leeeeeee,1,,每次登入都要scan身份證，簡直白痴,每次登入都要scan身份證，簡直白痴,NEGATIVE,,,,Appstore
,2024-08-05 15:10:18,WongJane,1,,用了兩年Za bank從未試過這樣的情況。。。還是用返ZA Bank比較穩定。,用了兩年Za bank從未試過這樣的情況。。。還是用返ZA Bank比較穩定。,NEGATIVE,,,,Appstore
,2024-08-03 21:17:37,JAME.MEGUE,1,,"Very poor Customer service , extremely hard to reach them .No help !","Very poor Customer service , extremely hard to reach them .No help !",NEGATIVE,,,,Appstore
,2024-08-01 12:55:21,Lanalalaaa,1,,"好廢，問左兩次點解你地交易平台無反應
淨係回應罐頭訊息
無認真了解情況同幫助
叫我再試
但事實就係我用返其他卡比到
係你地平台比唔到錢無反應","Very crap, asked twice why your land trading platform did not respond
Just respond to canned messages
No serious understanding of the situation and help
Tell me to try again
But the fact is that I use the other cards than
On your platform can not pay money without response",NEGATIVE,,,,Appstore
5a4cc4f8-b303-498b-acf8-f64240663356,2025-02-10 14:10:07,Vyshnav shabu nair,1,,The App keeps crashing and I am unable to use it on my phone. I tried clearing cache and reinstalling 2 times. Please provide a solution because paying the credit card bills on time is important.,The App keeps crashing and I am unable to use it on my phone. I tried clearing cache and reinstalling 2 times. Please provide a solution because paying the credit card bills on time is important.,NEGATIVE,,,,Playstore
f55dbd53-e447-4405-8fbb-f5b96d1349fd,2025-02-05 22:14:33,Kn Cheung,3,,it's almost impossible to find where in locating the second step to continue the activation process,it's almost impossible to find where in locating the second step to continue the activation process,NEGATIVE,,,,Playstore
a1ca7d4c-0baf-4b95-8676-52bc8e92db61,2025-02-03 02:13:31,Maximilian Y.,1,,張卡壞左，成個月都未寄，問左3次地址答左3次冇錯都未開始寄。介面越來越差，轉個賬有1/4畫面係你個垃圾定期廣告阻住晒，仲要冇得取消，個利率仲要差唔多係最差果間，咩事？,"The card broke down, not sent for a whole month, asked 3 times the address answered 3 times is not wrong to start sending. The interface is getting worse, turning a account has 1/4 screens in your garbage regularly ads blocking all, and no cancellation, the interest rate is almost the worst, what's wrong?",NEGATIVE,2.32.0,,,Playstore
4d2012d2-3d5b-4c01-8c0b-643e4d9801bc,2025-01-24 21:32:18,Guadaed Gonzales,2,,Apps is crashing,Apps is crashing,NEGATIVE,,,,Playstore
7e6c27f8-e90f-400a-9254-b13507b7a005,2025-01-21 21:04:02,Jacky Baath,5,,good,good,POSITIVE,2.32.0,,,Playstore
48cdd512-dd0d-4f4a-b834-937996c0718b,2025-01-09 17:50:24,Rustam Khadipash,2,,"Charge a 2% fee on some payments even though they're in HK$. Every purchase is a gamble, as I can't know in advance if the transaction is cross-border or not.","Charge a 2% fee on some payments even though they're in HK$. Every purchase is a gamble, as I can't know in advance if the transaction is cross-border or not.",NEGATIVE,,,,Playstore
30fcb7d6-a125-4aee-8ea7-49432286dee1,2025-01-07 16:52:29,Dust Light,5,,good,good,POSITIVE,2.31.1,,,Playstore
8dc9eefc-0487-4cb6-aba6-57719f359f81,2025-01-03 09:15:14,diana fitro,5,,Good easy to use,Good easy to use,POSITIVE,,,,Playstore
df17854c-4652-4199-b292-d036ae30a336,2025-01-02 18:02:24,Marquis Lau,3,,App is pretty good and easy to use. Just hope that it can be more flexible on withdrawal and deposit through third-party services.,App is pretty good and easy to use. Just hope that it can be more flexible on withdrawal and deposit through third-party services.,POSITIVE,2.31.1,,,Playstore
55898451-b1fa-450d-82b6-9a3ce26f34d7,2025-01-01 14:17:39,Ronald James Calairo,5,,Secure and easy to use mobile banking app. Great!,Secure and easy to use mobile banking app. Great!,POSITIVE,2.31.0,,,Playstore
d52b6d3b-5aa0-4aa6-9b8a-734cd0a2957a,2024-12-27 19:31:09,yuen0404,3,,Have payment options but you cannot scan pay. The card cannot incorporate into samsung pay so its not very useful.,Have payment options but you cannot scan pay. The card cannot incorporate into samsung pay so its not very useful.,NEGATIVE,2.31.1,,,Playstore
7b182fc0-f5f7-432b-b6bb-25c2c7168d42,2024-12-26 19:51:41,Rehman Mota,5,,Very good,Very good,POSITIVE,2.31.1,,,Playstore
eabfcd2b-a36f-44d0-9f11-bd5b8a32069f,2024-12-24 11:57:43,C Amos,1,,terrible. Can't take selfie always says timeout,terrible. Can't take selfie always says timeout,NEGATIVE,2.31.1,,,Playstore
ce15af59-378b-4a91-a2e7-996855c3f9b0,2024-12-23 22:06:14,Suleiman Yusuf,1,,Make it globally for use,Make it globally for use,POSITIVE,2.31.1,,,Playstore
454aa227-db8e-4ad3-b548-3ce15893be2e,2024-12-05 10:40:04,PURPLE DANZ FITNESS,5,,very convenience to use and fast transactions thank you mox 💜🙏🏼,very convenience to use and fast transactions thank you mox 💜🙏🏼,POSITIVE,2.29.0,,,Playstore
4fe8dae1-567f-4831-af2f-b3164da0872d,2024-12-04 10:31:37,Ika's Diary,4,,good,good,POSITIVE,2.30.0,,,Playstore
9522cbab-1c60-446d-a166-a8ccd2c51f1f,2024-12-04 00:00:04,Andy Wong,2,,The app is becoming slower and slower. Now there is a prompt to Close the app or Wait after the fingerprint login. And everything takes much longer than before. The prompt appears about every 10 seconds unless I choose to Close the app. This problem only occur recently.,The app is becoming slower and slower. Now there is a prompt to Close the app or Wait after the fingerprint login. And everything takes much longer than before. The prompt appears about every 10 seconds unless I choose to Close the app. This problem only occur recently.,NEGATIVE,2.29.0,,,Playstore
7b2b7d31-6c0d-4ed1-ba65-a4ae1d806e20,2024-12-03 19:20:08,Lawrence P,1,,"Transaction keeps getting canceled with the same bs reason, and It will go through the second try. Keep telling me I or the merchant input information incorrectly even with physical card transactions. How do physical card input info incorrectly into the system??","Transaction keeps getting canceled with the same bs reason, and It will go through the second try. Keep telling me I or the merchant input information incorrectly even with physical card transactions. How do physical card input info incorrectly into the system??",NEGATIVE,2.29.0,,,Playstore
42b68544-fe76-4549-8a87-fdb7f20e6bb9,2024-11-29 09:20:58,Mr Plau,5,,"The app needs optimising for nothing phones. Everytime I open the app to use fingerprint scanner the app tells me to either wait or close the app. I can wait, but it pops up every few seconds, which makes the whole experience just that little bit more annoying. Thanks Dev team. I do love the app otherwise.","The app needs optimising for nothing phones. Everytime I open the app to use fingerprint scanner the app tells me to either wait or close the app. I can wait, but it pops up every few seconds, which makes the whole experience just that little bit more annoying. Thanks Dev team. I do love the app otherwise.",NEGATIVE,2.29.0,,,Playstore
24e2265f-a5f3-427c-ab4d-b8a67690403f,2024-11-18 17:22:44,¿,5,,useful,useful,POSITIVE,2.28.0,,,Playstore
083df7e0-6a67-415a-83de-c294e9e03f1c,2024-11-16 23:29:28,RADITema Ema,4,,"helpfull,,,","helpfull,,,",POSITIVE,2.28.0,,,Playstore
cd8cfa8c-b1d9-470b-b241-3b5196ecf1fd,2024-11-04 21:34:50,Rommillie h Vidal,5,,It very convenient thank you,It very convenient thank you,POSITIVE,2.25.0,,,Playstore
335fd779-a7cf-4b07-a142-2f6a00d2aa8d,2024-11-04 10:42:32,Rolf Nei,1,,"Android 15 la, how did you upgrade your app","Android 15 la, how did you upgrade your app",NEGATIVE,2.28.0,,,Playstore
6e03dcce-476f-42cd-92cb-66790bf7dca4,2024-11-03 19:44:20,Chun Ho,2,,unable to update the app despite no issues with connectivity or storage etc.,unable to update the app despite no issues with connectivity or storage etc.,NEGATIVE,2.27.1,,,Playstore
578531e6-2231-42d7-adb8-7c60ffc86c6b,2024-11-03 01:26:57,ShingShing Yuen,1,,"Rubbish. Poor technologies to recognize selfie and so stupid to require the customers to uninstall the app and start the whole application again. Give up this low tech ""virtual"" bank","Rubbish. Poor technologies to recognize selfie and so stupid to require the customers to uninstall the app and start the whole application again. Give up this low tech ""virtual"" bank",NEGATIVE,2.28.0,,,Playstore
517bbfff-29de-4c4e-9a8c-2178a9f9af88,2024-11-02 09:35:41,KC,2,,require useles update again i hate this 駛唔駛三兩日就更新一次呀 on9,requid users update i hate this if you don't have to spend three or two days to update once on the on9,NEGATIVE,2.27.1,,,Playstore
98297eaa-0ba3-4402-bb6f-c4f504b153bf,2024-10-31 14:30:37,Yeung Bryan,5,,good,good,POSITIVE,2.27.1,,,Playstore
82ab9e48-0fcc-4ea7-a95e-88709ebbbf1e,2024-10-23 23:12:31,Delboy Wu,1,,Update again??,Update again??,NEGATIVE,2.26.1,,,Playstore
3a2d414d-0f7a-4efa-9e6f-cb1260086231,2024-10-22 07:48:10,E Wright,1,,Frequent crashes. Today I cannot access my account at all.,Frequent crashes. Today I cannot access my account at all.,NEGATIVE,2.27.0,,,Playstore
36377808-709a-4d19-b44c-5b544148769b,2024-10-22 07:42:37,Andy Wong,2,,"Android 15, not able to open app while connecting Bluetooth device","Android 15, not able to open app while connecting Bluetooth device",NEGATIVE,2.27.0,,,Playstore
6474cb40-69d8-4b3e-ac4f-b3a0cd9c0283,2024-10-21 19:50:41,Ellery Estrella,5,,App is user-friendly and works flawlessly. Definitely recommended!,App is user-friendly and works flawlessly. Definitely recommended!,POSITIVE,2.27.0,,,Playstore
4f78cda3-2340-4387-b0d1-116295977af7,2024-10-17 10:53:33,KA MAN CHAN,1,,"the video call to identity verification is just too awkward. I couldn't hear the voice from speaker, so that I have to put my phone near my ear. however the staff said need to see my face during the process. No button on screen to change the audio output options. I need to change the position of my phone, and the camera just showing everywhere of my home. also there is no information to let me know if Mox will keep the footage of the video call. I feel my privacy is unprotected","the video call to identity verification is just too awkward. I couldn't hear the voice from speaker, so that I have to put my phone near my ear. however the staff said need to see my face during the process. No button on screen to change the audio output options. I need to change the position of my phone, and the camera just showing everywhere of my home. also there is no information to let me know if Mox will keep the footage of the video call. I feel my privacy is unprotected",NEGATIVE,2.26.1,,,Playstore
7d138f40-785c-4f62-a05d-fca69a6091a9,2024-10-16 11:16:12,Wendy Wong,1,,"There's a bug in the app, leading to false claims, but Mox denied it's their responsibility. Will never use them again.","There's a bug in the app, leading to false claims, but Mox denied it's their responsibility. Will never use them again.",NEGATIVE,2.26.1,,,Playstore
a60163ae-3e5e-4fda-b74d-5fe06655d574,2024-10-11 08:21:34,Alex Lau,1,,"Terrible app. One day, just stopped me from logging in with a ""Something went wrong"" issue. Upon calling for customer support, was dropped off after 15 minutes of waiting. There is no other way of reaching the team, as the email directs to the same number. Closing my account once this is resolved","Terrible app. One day, just stopped me from logging in with a ""Something went wrong"" issue. Upon calling for customer support, was dropped off after 15 minutes of waiting. There is no other way of reaching the team, as the email directs to the same number. Closing my account once this is resolved",NEGATIVE,2.26.1,,,Playstore
5629f15e-3799-440c-84a3-65e0ab108f51,2024-10-10 00:30:19,B C,1,,Has anyone had trouble updating or installing the app?,Has anyone had trouble updating or installing the app?,NEGATIVE,,,,Playstore
1a871383-7998-401d-a176-3bdaf9565169,2024-10-06 15:26:09,Wahson Chan,5,,"31 Oct, 2024","31 Oct, 2024",POSITIVE,2.25.1,,,Playstore
28e82a3d-75f4-4854-81a9-887420ba744f,2024-10-03 22:12:48,Anees Zahid,5,,ممتاز فضل۔ ،چ ک,"۔ , Ch",POSITIVE,,,,Playstore
805ecda8-7564-46d3-bdc8-83b193bfff96,2024-10-01 10:45:56,Nan,1,,"Apps required an update to check my account info, no update at all in Google play.","Apps required an update to check my account info, no update at all in Google play.",NEGATIVE,,,,Playstore
7c05b996-0024-4e02-8405-84f5e0ddddff,2024-09-27 09:43:25,Crissie Cheung,5,,Good app easy to use,Good app easy to use,POSITIVE,2.25.0,,,Playstore
93e7b7db-3996-465e-8c73-4ff81fa16de4,2024-09-26 07:56:18,Hanozeki Watch,5,,its a great app helping me with my hard life and hard work.,its a great app helping me with my hard life and hard work.,POSITIVE,2.25.0,,,Playstore
56bca170-8de5-4ea2-86ac-66e20dd8c422,2024-09-23 22:16:23,Cyrus Chau,1,,垃圾又問攞身份證，個個月都攞，又影相，影LLM,垃圾又問攞身份證，個個月都攞，又影相，影LLM,NEGATIVE,2.25.0,,,Playstore
244b8115-2e84-422e-b9cb-ae97310a5c04,2024-09-20 11:49:29,Imas Rini,5,,excellent,excellent,POSITIVE,2.24.0,,,Playstore
174983ad-1922-436c-b045-d8b1e94faa39,2024-09-14 14:29:58,anum khan,5,,very good 👍,very good 👍,POSITIVE,2.24.0,,,Playstore
61041b5c-5943-4597-83b4-00f50c59e149,2024-09-13 22:54:27,Mohammad Sajjad,5,,"Fast, easy and reliable service.A++","Fast, easy and reliable service.A++",POSITIVE,2.24.0,,,Playstore
b167f9a4-8074-4fc7-ab6c-f390f34a3fb8,2024-09-11 10:02:11,Zenzen Portillano,1,,Is anyone here already got a credit or loan on this app? Especially for Foreign client?!,Is anyone here already got a credit or loan on this app? Especially for Foreign client?!,NEGATIVE,2.24.0,,,Playstore
18afc03c-5331-4eb3-b00c-7942b80f196a,2024-09-10 09:48:24,Mitchell Wong,1,,"Worst onboarding experience I've ever had with a bank. Documents provided are not sufficient without a proper explanation. Response from reaching out to help emails are tardy and unprofessional. 0 interpersonal communication skills, shockingly poor.","Worst onboarding experience I've ever had with a bank. Documents provided are not sufficient without a proper explanation. Response from reaching out to help emails are tardy and unprofessional. 0 interpersonal communication skills, shockingly poor.",NEGATIVE,2.24.0,,,Playstore
b07e6282-bcbd-4aa0-9613-389ff33d4aba,2024-09-03 23:57:42,Chan Drew,5,,awesome,awesome,POSITIVE,2.23.0,,,Playstore
695c12c6-73c5-4914-adae-1c8922b00fa6,2024-08-13 00:24:37,MIUMIU 88,1,,"Always closed app before im finish using so sad,n i need to rilog again n again","Always closed app before im finish using so sad,n i need to rilog again n again",NEGATIVE,2.22.0,,,Playstore
2306b482-6434-468e-adad-58d006e817aa,2024-08-12 13:08:44,Ruth MYY (Ruth),5,,操作簡單，非常方便,操作簡單，非常方便,NEGATIVE,2.21.0,,,Playstore
